"ab_duration","runtime","image_name","ressource_limit","number_of_targets","targetId","repeat","completed_requests","failed_requests","requests_per_second","request_duration","filepath"
"10","default","go-httpd","default","1","1","39","216698","0","21667.64","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_39/1.txt"
"10","default","go-httpd","default","1","1","4","218819","0","21880.08","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_4/1.txt"
"10","default","go-httpd","default","1","1","40","213381","0","21334.66","10.002","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_40/1.txt"
"10","default","go-httpd","default","1","1","5","218916","0","21889.16","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_5/1.txt"
"10","default","go-httpd","default","1","1","6","213406","0","21339.27","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_6/1.txt"
"10","default","go-httpd","default","1","1","7","218011","0","21798.77","10.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_7/1.txt"
"10","default","go-httpd","default","1","1","8","212199","0","21219.61","10.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_8/1.txt"
"10","default","go-httpd","default","1","1","9","217478","0","21747.57","10.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_10s/default/default/go-httpd/target_count_1/repeat_9/1.txt"
"30","default","go-httpd","default","1","1","1","647374","0","21578.88","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_1/1.txt"
"30","default","go-httpd","default","1","1","10","659702","0","21989.70","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_10/1.txt"
"30","default","go-httpd","default","1","1","11","649913","0","21663.28","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_11/1.txt"
"30","default","go-httpd","default","1","1","12","652279","0","21741.85","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_12/1.txt"
"30","default","go-httpd","default","1","1","13","647290","0","21576.03","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_13/1.txt"
"30","default","go-httpd","default","1","1","14","657953","0","21931.10","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_14/1.txt"
"30","default","go-httpd","default","1","1","15","654673","0","21822.06","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_15/1.txt"
"30","default","go-httpd","default","1","1","16","653924","0","21797.01","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_16/1.txt"
"30","default","go-httpd","default","1","1","17","649659","0","21654.47","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_17/1.txt"
"30","default","go-httpd","default","1","1","18","648023","0","21600.03","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_18/1.txt"
"30","default","go-httpd","default","1","1","19","657698","0","21922.92","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_19/1.txt"
"30","default","go-httpd","default","1","1","2","659643","0","21987.13","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_2/1.txt"
"30","default","go-httpd","default","1","1","20","638943","0","21297.70","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_20/1.txt"
"30","default","go-httpd","default","1","1","21","640611","0","21353.30","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_21/1.txt"
"30","default","go-httpd","default","1","1","22","661891","0","22062.11","30.001","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_22/1.txt"
"30","default","go-httpd","default","1","1","23","647851","0","21594.73","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_23/1.txt"
"30","default","go-httpd","default","1","1","24","642174","0","21405.48","30.000","/opt/auswertung/Raw/ab_dauer_testreihe/apache_benchmark_30s/default/default/go-httpd/target_count_1/repeat_24/1.txt"
